"序号","省份","学校名称","类型","学校标识码","主管部门","所在地","办学层次","备注","985","211","双一流","隶属关系","院校层级","数据状态"
"29","北京","北京语言大学","公办普通本科","4111010032","教育部","北京市","本科","","","","","教育部直属","公办本科","已匹配教育部名单"
"23","北京","北京中医药大学","公办普通本科","4111010026","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"32","北京","对外经济贸易大学","公办普通本科","4111010036","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"36","北京","国际关系学院","公办普通本科","4111010042","教育部","北京市","本科","","","","","教育部直属","公办本科","已匹配教育部名单"
"45","北京","华北电力大学","公办普通本科","4111010054","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"3","北京","清华大学","公办普通本科","4111010003","教育部","北京市","本科","","是","是","是","教育部直属","985/211/双一流","已匹配教育部名单"
"34","北京","首都经济贸易大学","公办普通本科","4111010038","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"25","北京","首都师范大学","公办普通本科","4111010028","北京市","北京市","本科","","","","是","其他所属","双一流","已匹配教育部名单"
"26","北京","首都体育学院","公办普通本科","4111010029","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"22","北京","首都医科大学","公办普通本科","4111010025","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"30","北京","中国传媒大学","公办普通本科","4111010033","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"48","北京","中国地质大学(北京)","公办普通本科","4111011415","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"46","北京","中国矿业大学(北京)","公办普通本科","4111011413","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"18","北京","中国农业大学","公办普通本科","4111010019","教育部","北京市","本科","","是","是","是","教育部直属","985/211/双一流","已匹配教育部名单"
"51","北京","中国青年政治学院","公办普通本科","4111011625","共青团中央","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"2","北京","中国人民大学","公办普通本科","4111010002","教育部","北京市","本科","","是","是","是","教育部直属","985/211/双一流","已匹配教育部名单"
"35","北京","中国人民公安大学","公办普通本科","4111010041","公安部","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"47","北京","中国石油大学(北京)","公办普通本科","4111011414","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"42","北京","中国戏曲学院","公办普通本科","4111010049","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"39","北京","中国音乐学院","公办普通本科","4111010046","北京市","北京市","本科","","","","是","其他所属","双一流","已匹配教育部名单"
"44","北京","中国政法大学","公办普通本科","4111010053","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"52","北京","中华女子学院","公办普通本科","4111011149","中华妇女联合会","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"31","北京","中央财经大学","公办普通本科","4111010034","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"40","北京","中央美术学院","公办普通本科","4111010047","教育部","北京市","本科","","","","","教育部直属","公办本科","已匹配教育部名单"
"41","北京","中央戏剧学院","公办普通本科","4111010048","教育部","北京市","本科","","","","","教育部直属","公办本科","已匹配教育部名单"
"38","北京","中央音乐学院","公办普通本科","4111010045","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
