"序号","省份","学校名称","类型","学校标识码","主管部门","所在地","办学层次","备注","985","211","双一流","隶属关系","院校层级","数据状态"
"636","重庆","重庆大学","公办普通本科","4150010611","教育部","重庆市","本科","","是","是","是","教育部直属","985/211/双一流","已匹配教育部名单"
"652","重庆","重庆第二师范学院","公办普通本科","4150014388","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"647","重庆","重庆工商大学","公办普通本科","4150011799","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"654","重庆","重庆机电职业技术大学","公办职业本科","4150012607","重庆市教委","重庆市","本科","民办","","","","其他所属","公办本科","已匹配教育部名单"
"638","重庆","重庆交通大学","公办普通本科","4150010618","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"653","重庆","重庆警察学院","公办普通本科","4150012757","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"650","重庆","重庆科技学院","公办普通本科","","","","","","","","","待补","公办本科","待校对"
"651","重庆","重庆理工大学","公办普通本科","4150011660","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"649","重庆","重庆三峡学院","公办普通本科","4150010643","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"642","重庆","重庆师范大学","公办普通本科","4150010637","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"643","重庆","重庆文理学院","公办普通本科","4150010642","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"640","重庆","重庆医科大学","公办普通本科","4150010631","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"637","重庆","重庆邮电大学","公办普通本科","4150010617","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"648","重庆","四川美术学院","公办普通本科","4150010655","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"645","重庆","四川外国语大学","公办普通本科","4150010650","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"639","重庆","西南大学","公办普通本科","4150010635","教育部","重庆市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"646","重庆","西南大学荣昌校区","公办普通本科","","","","","","","","","待补","公办本科","待校对"
"641","重庆","西南政法大学","公办普通本科","4150010652","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"644","重庆","长江师范学院","公办普通本科","4150010647","重庆市","重庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"378","福建","福建工程学院","公办普通本科","","","","","","","","","待补","公办本科","待校对"
"395","福建","福建技术师范学院","公办普通本科","4135014683","福建省","福州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"392","福建","福建江夏学院","公办普通本科","4135013763","福建省","福州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"394","福建","福建警察学院","公办普通本科","4135011495","福建省","福州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"379","福建","福建农林大学","公办普通本科","4135010389","福建省","福州市","本科","","","","是","其他所属","双一流","已匹配教育部名单"
"383","福建","福建师范大学","公办普通本科","4135010394","福建省","福州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"381","福建","福建医科大学","公办普通本科","4135010392","福建省","福州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"382","福建","福建中医药大学","公办普通本科","4135010393","福建省","福州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"377","福建","福州大学","公办普通本科","4135010386","福建省","福州市","本科","","","是","是","其他所属","211/双一流","已匹配教育部名单"
"376","福建","华侨大学","公办普通本科","4135010385","中央统战部","泉州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"380","福建","集美大学","公办普通本科","4135010390","福建省","厦门市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"387","福建","龙岩学院","公办普通本科","4135011312","福建省","龙岩市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"384","福建","闽江学院","公办普通本科","4135010395","福建省","福州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"386","福建","闽南师范大学","公办普通本科","4135010402","福建省","漳州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"391","福建","宁德师范学院","公办普通本科","4135010398","福建省","宁德市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"389","福建","莆田学院","公办普通本科","4135011498","福建省","莆田市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"385","福建","泉州师范学院","公办普通本科","4135010399","福建省","泉州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"396","福建","泉州职业技术大学","公办职业本科","4135012928","福建省教育厅","泉州市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"388","福建","三明学院","公办普通本科","4135011311","福建省","三明市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"375","福建","厦门大学","公办普通本科","4135010384","教育部","厦门市","本科","","是","是","是","教育部直属","985/211/双一流","已匹配教育部名单"
